epoch,train_mae,train_rmse,val_mae,val_rmse
1,147.98047204622307,165.6365838710171,160.06905949266616,179.832188013314
2,146.86326448576423,164.4076576499453,158.9174690641384,178.53887642458224
3,145.53400335966222,163.0371326303907,157.53560431942893,177.10795364837432
4,143.86577890126156,161.53541340634735,155.83507745672256,175.5909102407375
5,141.83259711953946,159.89412420911373,153.81692188109605,173.9917852396529
6,139.78112654670798,158.2841062687971,151.79297576246162,172.42952991894904
7,138.02505867411216,156.88406349165325,150.0502156663358,171.05584223106186
8,136.6146404531858,155.73084175350024,148.64546124089026,169.91732764936586
9,135.45067074577887,154.7562358144441,147.48534308670963,168.95249947446476
10,134.43105062539652,153.89042778729814,146.46874060931103,168.09384298856523
11,133.49825037141713,153.09255150003244,145.5381281014847,167.3013125618834
12,132.62218333020172,152.34030138111822,144.66361768121772,166.5531730353296
13,131.7859675765896,151.62084840478911,143.82854178390392,165.83700860193673
14,130.97937349932965,150.9262745083226,143.02281351573842,165.1451602099674
15,130.19577761541913,150.25137186626446,142.23989567022608,164.47257637486595
16,129.43065019815512,149.59253417373841,141.47531204963698,163.8157481975351
17,128.6807556699734,148.94715989845264,140.72586203472173,163.17213771364058
18,127.9437015399246,148.31330966241637,139.98917699524696,162.53984869262783
19,127.21766827385063,147.68949830492238,139.2634542551004,161.9174261830462
20,126.50123932444798,147.0745627312121,138.5472895162809,161.30372878101338
21,125.79328982208129,146.46757464064805,137.83956702157136,160.697844087442
22,125.09291122004467,145.86778099826384,137.13938514008245,160.09903092389953
23,124.3993588145801,145.2745622919905,136.44600450772032,159.50667873867116
24,123.71475009607069,144.68740255322857,135.75881099120573,158.92027840462117
25,123.0375048901646,144.10586737109983,135.07728866648023,158.33940077212281
26,122.36547557279718,143.52958746913492,134.40099972823776,157.7636806270861
27,121.69828727265093,142.9582462346322,133.7295693003846,157.19280449542913
28,121.03561649773606,142.39157010974552,133.06267377858626,156.62650123603004
29,120.37718203230651,141.82932108944865,132.40003176224414,156.06453468908958
30,119.72273777193833,141.27129079423776,131.74139691429363,155.50669786245012
31,119.07206702123707,140.71729573605853,131.08655227643266,154.952808284446
32,118.42497790946129,140.16717349971492,130.4353056972017,154.40270425258788
33,117.7812996705977,139.62077963471737,129.78748612091624,153.85624177803942
34,117.14087959907111,139.07798510425116,129.14294054965836,153.31329207616213
35,116.50358053873762,138.53867417526322,128.50153153669442,152.7737394897503
36,115.86927879664475,138.002742660944,127.86313510331527,152.2374797581656
37,115.23786239798667,137.47009644705838,127.22763899589431,151.70441856526915
38,114.60922961727887,136.94065024867425,126.59494121845341,151.17447031378748
39,113.98328773478588,136.41432655524198,125.96494878996288,150.64755708489338
40,113.3599519778951,135.89105473068398,125.33757668621135,150.1236077502967
41,112.73914461531261,135.370770241853,124.71274693422392,149.60255721069768
42,112.12106148337342,134.85341399392212,124.09038783351834,149.08434573954816
43,111.50913171098867,134.3389317553393,123.47043328341378,148.5689184150592
44,110.89951662858084,133.82727365819142,122.85282219948222,148.05622462653722
45,110.29216025342761,133.31839376236886,122.2374980053022,147.54621764363296
46,109.69336930838396,132.81224967395906,121.6244081881225,147.03885423908451
47,109.0991757261511,132.3088022099355,121.0135039090094,146.53409435714508
48,108.51017089719761,131.80801510253144,120.40473965963616,146.03190082118556
49,107.92319577474927,131.3098547377666,119.79807295916257,145.53223907502297
50,107.3382119053285,130.8142899234747,119.19346408570338,145.03507695338928
51,106.76234664376662,130.32129168290348,118.59087583774703,144.54038447766968
52,106.1890417148125,129.8308330705584,117.9942490243451,144.04813367362576
53,105.61760103893594,129.342889007454,117.41348825861577,143.55829840830782
54,105.05032754376477,128.85743613335234,116.83459122446787,143.07085424376737
55,104.48639046695573,128.37445267391263,116.2575298241667,142.58577830552076
56,103.92422228528947,127.89391832096607,115.69684740284318,142.10304916400136
57,103.36379849165638,127.41581412437505,115.14105813509019,141.6226467274785
58,102.80509592786902,126.94012239414235,114.58697338627744,141.14455214512552
59,102.2500828196519,126.46682661161262,114.03457159150385,140.6687477190931
60,101.69856232670877,125.99591134875676,113.48383232858826,140.19521682459066
61,101.1578380450142,125.52736219465928,112.93473624073978,139.72394383710633
62,100.6217471817024,125.06116568843727,112.38890850222617,139.25491406600298
63,100.09396733225657,124.59730925791463,111.86037828494668,138.7881136938216
64,99.56772710537882,124.13578116345606,111.33338816247836,138.32352972070382
65,99.0430111974573,123.67657044643596,110.8079229053615,137.86114991341384
66,98.52684670429122,123.21966688187811,110.28396802771411,137.40096275850135
67,98.01632015006419,122.76506093485528,109.76150974349683,136.94295741919876
68,97.51722088828356,122.31274372028355,109.240534926303,136.48712369569193
69,97.02239588900645,121.86270696578694,108.72382002068142,136.03345198844283
70,96.53835841514135,121.41494297734312,108.22276018499093,135.58193326427883
